Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,title,max_similarity,most_similar_anchor_idx,most_similar_anchor_title
Jason Kelce,Retired,2025,Man I love the 4th...we all share in common that we are American,Instagram post celebrating July 4th sparked backlash due to political context and timing,Instagram,Controversy,Negative,Active,High,"Fox News, US Weekly, Yahoo Sports",https://www.yahoo.com/entertainment/articles/jason-kelce-slammed-tone-deaf-185134012.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAADrJ-a3_k8kxNkzivlOGOq4_OpPORRdt9NRY3butbKPSUleZi7xL_a7b1fWzsvaGTU1bZhVKP-hvn1HmMsM-ecLzFUapnrU_v-oNJ5Jv0xdPWjX5syumoNeUScHJ2CJ3Nj-Qvp_VFE1xaSkgYNGblNYtSfj_azVwJm3skuK1pOAc,,,,
Warren Sapp,Retired,2025,Texas is Fake Football,Response to a tweet that praises Texas running back ,Twitter/X,Controversy,Negative,Deleted,Medium,"MSN, Yahoo Sports",https://sports.yahoo.com/articles/nfl-legend-warren-sapp-calls-154715384.html,,,,
Puka Nacua,Playing,2025,I deeply apologize...I do not stand for any form of...hate of another groupe of people,Apologizes after making antisemitic gesture during livestream,Instagram,Apology,Negative,Deleted,High,"CNN, Yahoo Sports, BBC",https://www.cnn.com/2025/12/18/sport/football-nfl-rams-puka-nacua-apology-antisemitism,,,,
Travis Kelce,Playing ,2024,happy easter...#shoutout to Jesus for takin one for the team...,Wishing everyone a Happy Easter while making jokes of the crucifixation of Jesus,Twitter/X,Controversy,Mixed,Active,High,"Yahoo Sports, E! News, People",https://www.yahoo.com/entertainment/articles/travis-kelce-resurfaced-easter-tweet-123536254.html,,,,
Deion Sanders,Playing,2024,He will be a top 5 pick. Where yo son going?,Response to a fan about the draft pick ranking of another player,Twitter/X,Controversy,Negative,Deleted,Medium,"Yahoo Sports, ESPN, Fox News",https://sports.yahoo.com/article/deion-sanders-eats-crow-shedeur-175135709.html,,,,
Rashard Mendenhall,Retired,2023,I'm sick of average white guys commenting on football. Y'all not even good at football,Made a racist tweet about white NFL playerss,Twitter/X,Controversy,Negative,Deleted,Medium,"ESPN, CBS Sports",https://www.outkick.com/sports/sports-media-silent-on-rashard-mendenhall-anti-white-tweet-calls-for-neo-segregation-bobby-burack,,,,
Tony Dungy,Retired,2023,Some school districts are putting litter boxes in the school bathrooms for students who identify as cats,Response to a proposed Minnesota state bill that requires menstrual products in boys' school bathroom,Twitter/X,Controversy,Negative,Deleted,Medium,"IndyStar, Fox News",https://www.indystar.com/story/sports/nfl/colts/2023/01/19/ex-indianapolis-colts-coach-tony-dungy-deletes-cat-litter-tweet/69820624007/?gnt-cfr=1&gca-cat=p&gca-uir=true&gca-epti=z116418e1131xxv116418d--71--b--71--&gca-ft=216&gca-ds=sophi,,,,
Maxx Crosby,Playing,2026,KC!!!!!!🔥🔥🔥🔥🔥🔥 44 Is A Problem!!,Supports current New England Patriots' defender K'Lavon Chaisson,Twitter/X,Support,Positive,Active,Low,PatriotsWire,https://patriotswire.usatoday.com/story/sports/nfl/patriots/2026/01/12/maxx-crosby-tweets-out-patriots-player-social-media-crazy/88138724007/,,,,
Puka Nacua,Playing,2025,Can you say i was wrong. Appreciate you stripes for your contribution. Lol,Calling out the referees after team's loss,Twitter/X,Controversy,Mixed,Deleted ,Low,HindustanTimes ,https://www.hindustantimes.com/sports/us-sports/puka-nacua-twitter-post-slams-nfl-refs-after-la-rams-loss-as-wr-doubles-down-on-criticism-can-you-say-i-was-wrong-101766124227161.html,,,,
Princely Umanmielen,Playing,2025,#justiceforyounghoekoo,"""Funny"" response after Facon's loss after being bantered about the game ",Twitter/X,Humor,Positive,Active,Low,PanthersWire ,https://sports.yahoo.com/article/panthers-olb-princely-umanmielen-explains-195456186.html,,,,
